Evaluacion,Costo,Puntaje_vision,restriccion_area,Penalizacion_dmin,Penalizacion_dmax,Distancia_vuelo,Tiempo_Vuelo,x0,y0,z0,yaw0,x1,y1,z1,yaw1,x2,y2,z2,yaw2,x3,y3,z3,yaw3,x4,y4,z4,yaw4,x5,y5,z5,yaw5,x6,y6,z6,yaw6,x7,y7,z7,yaw7,x8,y8,z8,yaw8,x9,y9,z9,yaw9,x10,y10,z10,yaw10,x11,y11,z11,yaw11
11,-19.67557,9.771534,0.0,0.0,0.0,15.522677618873994,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.5970476127563018,-1.4148145657226707,0.45,1.8131791181510086,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
12,-19.649837,9.758363,0.0,0.0,0.0,15.505846772139739,19.12,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.3648145657226707,0.45,1.8378740163842344,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
13,-19.698257,9.786302,0.0,0.0,0.0,15.55581879481977,19.2,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4648145657226708,0.45,1.8275174821072289,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
14,-19.702766,9.784055,0.0,0.0,0.0,15.548416119255801,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.8177669529663687,-0.7677669529663689,0.45,2.370138510992148,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
15,-19.623264,9.7534895,0.0,0.0,0.0,15.511801775386154,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.717766952966369,-0.7677669529663689,0.45,2.3418504694138753,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
16,-19.631096,9.755937,0.0,0.0,0.0,15.511801775386154,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7177669529663688,0.45,2.370538510970815,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
17,-19.703794,9.784376,0.0,0.0,0.0,15.548416119255801,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.8177669529663689,0.45,2.3422504693925417,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
18,-19.68369,9.78175,0.0,0.0,0.0,15.55581879481977,19.2,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.46481456572267,0.3529523872436977,0.45,2.8848714982774606,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
19,-19.659863,9.761496,0.0,0.0,0.0,15.505846772139739,19.12,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.3648145657226705,0.3529523872436977,0.45,2.8745149640004555,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
20,-19.663836,9.767867,0.0,0.0,0.0,15.522677618873992,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.4029523872436977,0.45,2.8992098622336813,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
21,-19.656017,9.76752,0.0,0.0,0.0,15.536091252324313,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3029523872436977,0.45,2.8605766000869015,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
22,-19.669552,9.777331,0.0,0.0,0.0,15.55581879481977,19.2,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4648145657226705,1.6470476127563012,0.45,-2.884871498277461,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
23,-19.663742,9.762708,0.0,0.0,0.0,15.505846772139739,19.12,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.364814565722671,1.6470476127563012,0.45,-2.874514964000456,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
24,-19.667847,9.771216,0.0,0.0,0.0,15.536091252324313,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6970476127563012,0.45,-2.860576600086902,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
25,-19.66335,9.767715,0.0,0.0,0.0,15.522677618873992,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.5970476127563011,0.45,-2.8992098622336817,2.767766952966369,2.767766952966369,0.45,-2.356194490192345,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
26,-19.682775,9.777807,0.0,0.0,0.0,15.548416119255801,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.8177669529663687,2.767766952966369,0.45,-2.370138510992148,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
27,-19.65521,9.763473,0.0,0.0,0.0,15.511801775386152,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.717766952966369,2.767766952966369,0.45,-2.3418504694138753,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
28,-19.682402,9.777691,0.0,0.0,0.0,15.548416119255801,19.16,-0.7677669529663687,-0.7677669529663689,0.45,0.7853981633974484,0.35295238724369793,-1.4148145657226707,0.45,1.3089969389957472,1.6470476127563018,-1.4148145657226707,0.45,1.8325957145940461,2.767766952966369,-0.7677669529663689,0.45,2.356194490192345,3.4148145657226703,0.3529523872436977,0.45,2.8797932657906435,3.4148145657226707,1.6470476127563012,0.45,-2.879793265790644,2.767766952966369,2.8177669529663687,0.45,-2.3422504693925417,1.6470476127563023,3.4148145657226703,0.45,-1.8325957145940464,0.35295238724369904,3.414814565722671,0.45,-1.3089969389957476,-0.7677669529663687,2.767766952966369,0.45,-0.7853981633974484,-1.4148145657226703,1.6470476127563036,0.45,-0.26179938779915013,-1.4148145657226712,0.35295238724369915,0.45,0.26179938779914896
